first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-05-10,2020-05-16,70-74,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,70-74,נקבה,1113,<15,0.0
2020-05-10,2020-05-16,75-79,זכר,626,<15,<15
2020-05-10,2020-05-16,75-79,נקבה,808,<15,<15
2020-05-10,2020-05-16,80+,זכר,2074,<15,<15
2020-05-10,2020-05-16,80+,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,80+,נקבה,4719,<15,<15
2020-05-10,2020-05-16,NULL,זכר,601,<15,0.0
2020-05-10,2020-05-16,NULL,לא ידוע,152,0.0,0.0
2020-05-10,2020-05-16,NULL,נקבה,651,<15,0.0
2020-05-17,2020-05-23,0-19,זכר,2237,15.0,0.0
2020-05-17,2020-05-23,0-19,לא ידוע,19,0.0,0.0
2020-05-17,2020-05-23,0-19,נקבה,1760,24.0,0.0
2020-05-17,2020-05-23,20-24,זכר,1018,<15,0.0
2020-05-17,2020-05-23,20-24,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,20-24,נקבה,1145,<15,0.0
2020-05-17,2020-05-23,25-29,זכר,1094,<15,0.0
2020-05-17,2020-05-23,25-29,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,25-29,נקבה,1506,<15,0.0
2020-05-17,2020-05-23,30-34,זכר,1165,<15,<15
2020-05-17,2020-05-23,30-34,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,30-34,נקבה,1661,<15,0.0
2020-05-17,2020-05-23,35-39,זכר,1182,<15,0.0
2020-05-17,2020-05-23,35-39,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,35-39,נקבה,1586,<15,0.0
2020-05-17,2020-05-23,40-44,זכר,980,<15,0.0
2020-05-17,2020-05-23,40-44,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,40-44,נקבה,1477,<15,0.0
