VaccinationDate,age_group,first_dose,second_dose
2021-03-20,20-29,1785,4928
2021-03-20,0-19,671,1867
2021-03-20,30-39,1066,3394
2021-03-20,70-79,101,302
2021-03-20,60-69,236,621
2021-03-20,40-49,769,2476
2021-03-21,80-89,175,564
2021-03-21,0-19,1634,4116
2021-03-21,20-29,3970,11423
2021-03-21,40-49,1825,6171
2021-03-21,90+,50,105
2021-03-21,50-59,1223,3730
2021-03-21,60-69,754,2110
2021-03-21,30-39,2971,10246
2021-03-21,70-79,382,1037
2021-03-22,30-39,3007,9949
2021-03-22,40-49,1862,6015
2021-03-22,90+,71,131
2021-03-22,70-79,407,1037
2021-03-22,20-29,4066,11466
2021-03-22,80-89,157,541
2021-03-22,0-19,1515,4060
2021-03-22,50-59,1182,3510
2021-03-22,60-69,718,1933
2021-03-23,60-69,176,292
2021-03-23,80-89,25,91
2021-03-23,40-49,386,1202
2021-03-23,90+,<15,19
2021-03-23,30-39,557,1766
2021-03-23,70-79,53,171
2021-03-23,0-19,290,775
2021-03-23,20-29,816,2162
2021-03-23,50-59,259,655
2021-03-24,60-69,543,2344
2021-03-24,30-39,2347,11362
2021-03-24,40-49,1612,6897
2021-03-24,70-79,300,1262
2021-03-24,90+,44,140
2021-03-24,80-89,180,672
2021-03-24,0-19,1260,4793
